sep=;
UTC ms since epoch;Bat charge In;Bat charge Out;Bat Voltage;5V supply;3V3 supply;PCU total curr;Solar +X;Solar -X;Solar +Y;Solar -Y;Solar +Z;Solar -Z;Solar total;VCC out0;VCC out1;VCC out2;VCC out3;VCC out4;VCC out5;VCC out6;VCC out7;SS total curr;EEPROM1 curr;EEPROM2 curr;Ext ADC1;Ext ADC2;Ext ADC3;Ext ADC4;RTC curr;Charger DCDC;System V;OBC curr;Time;Restarts;Switches(CAGR);Mode;RTC;Temp.(bat);Sch. count;Section;Variable Telemetry;
1601554362121;0.024414;0.116522;8.199;5.180;3.287;0.0271;0.000916;0.008545;0.011902;0.003662;0.000305;0.00061;0.876301;0.01709;0.00061;0.001831;0.00061;0.001831;0.004883;0.00061;0.001221;0.003662;0.000458;0.000183;0.000793;0.000854;0.001801;0.001129;0.000214;0.056152;0.659485;0.308533;1599732981;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601554363150;0.025024;0.175707;8.192;5.164;3.289;0.0271;0.00061;0.00824;0.011902;0.003357;0.000305;0.00061;0.876301;0.01709;0.00061;0.001831;0.00061;0.001831;0.004883;0.00061;0.001221;0.003662;0.000458;0.000183;0.000763;0.000854;0.00174;0.001129;0.000214;0.056152;0.65918;0.316162;1599732982;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601554367193;0.025024;0.117446;8.199;5.208;3.289;0.02713;0.000916;0.008545;0.011597;0.003357;0.000305;0.00061;0.876301;0.016785;0.00061;0.001831;0.00061;0.001831;0.004272;0.00061;0.001221;0.003662;0.000305;0.000183;0.000763;0.000854;0.001801;0.00116;0.000214;0.056152;0.659485;0.31311;1599732986;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 29 00 2b 00 00 00 02 3f ff ff ff 00 00 00 00 00 cd 0b 36 fb 96 f8 00 00 00 00 00 00 7c 5f 5f 5f 4e 6f 5f 44 61 74 61 21 5f 5f 5f 7c 00 00 00 00 00 00 00 00 00 00;
1601554376667;0.025024;0.119296;8.195;5.243;3.289;0.0271;0.000916;0.00824;0.012207;0.003357;0.00061;0.00061;0.874681;0.016785;0.00061;0.001831;0.00061;0.001831;0.004272;0.00061;0.001221;0.003662;0.000305;0.000183;0.000763;0.000854;0.00177;0.00116;0.000214;0.056152;0.659485;0.309753;1599732995;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601554378216;0.025635;0.117446;8.202;5.128;3.289;0.027161;0.000916;0.008545;0.011902;0.003357;0.00061;0.000305;0.874681;0.01709;0.00061;0.001831;0.00061;0.001831;0.004883;0.00061;0.001221;0.003662;0.000458;0.000183;0.000793;0.000854;0.00174;0.001129;0.000183;0.056152;0.659485;0.312805;1599732997;9;11000001 | 00010010 | 00000011 | 00000000 | ;3;167838984;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601555431830;0.024414;0.084155;8.188;5.159;3.300;0.061798;0.001221;0.00824;0.011902;0.003662;0.00061;0.00061;0.87954;0.003662;0.00061;0.001831;0.000305;0.001831;0.004883;0.00061;0.001221;0.001831;0.000458;0.000183;0.073303;0.039886;0.073914;0.038605;0.000275;0.056458;0.659485;0.001526;1599734050;9;11000000 | 00010000 | 00000011 | 00000000 | ;2;0;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601555434442;0.024414;0.086004;8.188;5.243;3.303;0.06189;0.001221;0.008545;0.011902;0.003357;0.00061;0.00061;0.87792;0.003662;0.00061;0.001831;0.000305;0.001831;0.004272;0.00061;0.001221;0.001831;0.000305;0.000183;0.073303;0.039215;0.073914;0.038177;0.000275;0.056458;0.65918;0.001526;1599734053;9;11000000 | 00010000 | 00000011 | 00000000 | ;2;0;32791;0;1;0; 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 72 72 72 72 00 00 0a 00 3f 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d 2d;
1601555444493;0.025024;0.086004;8.188;5.149;3.302;0.061829;0.001221;0.008545;0.011902;0.003662;0.00061;0.00061;0.876301;0.003662;0.00061;0.001831;0.000305;0.001831;0.004883;0.00061;0.001221;0.001831;0.000458;0.000183;0.073181;0.03891;0.073792;0.037964;0.000275;0.056458;0.659485;0.001526;1599734063;9;11000000 | 00010000 | 00000011 | 00000000 | ;2;0;32791;0;1;0; 38 00 00 00 03 ff 00 03 ff 00 03 03 00 03 10 00 03 10 00 03 ff 00 03 10 00 03 0d 00 03 0d 00 03 0d 00 03 0d 00 03 0d 00 03 ff 00 03 0d 00 03 0d 00 03 09 00 03 09 00 03 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7c;
1601555450570;0.025024;0.08323;8.188;5.067;3.303;0.06192;0.001221;0.00824;0.011597;0.003662;0.00061;0.00061;0.87792;0.003357;0.00061;0.001831;0.000305;0.001831;0.004883;0.00061;0.001221;0.001526;0.000305;0.000183;0.073151;0.038849;0.07373;0.037872;0.000275;0.056458;0.658569;0.001526;1599734069;9;11000000 | 00010000 | 00000011 | 00000000 | ;2;0;32791;0;1;0; 3b 00 00 00 03 ff 00 03 ff 00 03 03 00 03 10 00 03 10 00 03 ff 00 03 10 00 03 0d 00 03 0d 00 03 0d 00 03 0d 00 03 0d 00 03 ff 00 03 0d 00 03 0d 00 03 09 00 03 09 00 03 ff 00 03 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7c;
1601555456245;0.025635;0.08323;8.188;5.070;3.300;0.061829;0.001526;0.008545;0.011902;0.003662;0.000305;0.00061;0.87792;0.003357;0.00061;0.001831;0.000305;0.001831;0.004883;0.00061;0.001221;0.001831;0.000305;0.000183;0.07309;0.038849;0.0737;0.037903;0.000275;0.056458;0.658264;0.001526;1599734075;9;11000000 | 00010000 | 00000011 | 00000000 | ;2;0;32791;0;1;0; 3b 00 00 00 03 ff 00 03 ff 00 03 03 00 03 10 00 03 10 00 03 ff 00 03 10 00 03 0d 00 03 0d 00 03 0d 00 03 0d 00 03 0d 00 03 ff 00 03 0d 00 03 0d 00 03 09 00 03 09 00 03 ff 00 03 ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7c;
